iter	Passed	Remaining
903	1196	38512
904	1197	38504
905	1198	38496
906	1200	38493
907	1201	38492
908	1202	38490
909	1203	38486
910	1204	38476
911	1206	38479
912	1208	38501
913	1209	38493
914	1210	38486
915	1212	38483
916	1213	38479
917	1216	38535
918	1217	38530
919	1218	38527
920	1220	38520
921	1228	38753
922	1231	38787
923	1233	38815
924	1235	38820
925	1238	38886
926	1239	38884
927	1241	38893
928	1242	38885
929	1243	38884
930	1245	38873
931	1246	38868
932	1247	38858
933	1248	38850
934	1249	38839
935	1258	39090
936	1260	39088
937	1261	39098
938	1263	39094
939	1267	39182
940	1269	39201
941	1271	39213
942	1272	39207
943	1273	39208
944	1275	39228
945	1278	39255
946	1280	39276
947	1285	39398
948	1287	39400
949	1288	39402
950	1289	39400
951	1291	39410
952	1293	39420
953	1298	39523
954	1299	39524
955	1300	39523
956	1301	39508
957	1302	39497
958	1303	39482
959	1305	39486
960	1307	39495
961	1308	39486
962	1309	39478
963	1312	39522
964	1316	39605
965	1319	39669
966	1324	39756
967	1325	39764
968	1328	39786
969	1330	39818
970	1332	39839
971	1333	39833
972	1335	39826
973	1337	39855
974	1339	39862
975	1340	39854
976	1341	39861
977	1343	39862
978	1344	39865
979	1347	39900
980	1348	39903
981	1351	39949
982	1354	39977
983	1355	39981
984	1357	39973
985	1358	39965
986	1359	39968
987	1361	39978
988	1363	39999
989	1367	40086
990	1369	40075
991	1371	40099
992	1372	40093
993	1373	40092
994	1375	40097
995	1376	40096
996	1378	40111
997	1382	40183
998	1384	40183
999	1385	40176
1000	1386	40175
1001	1389	40203
1002	1390	40202
1003	1392	40224
1004	1405	40549
1005	1409	40622
1006	1411	40640
1007	1413	40646
1008	1423	40887
1009	1432	41103
1010	1435	41159
1011	1449	41522
1012	1451	41520
1013	1454	41576
1014	1459	41674
1015	1460	41675
1016	1462	41668
1017	1463	41659
1018	1464	41654
1019	1465	41649
1020	1467	41646
1021	1468	41641
1022	1469	41633
1023	1470	41623
1024	1474	41694
1025	1476	41695
1026	1478	41700
1027	1479	41702
1028	1481	41703
1029	1482	41702
1030	1484	41698
1031	1485	41707
1032	1488	41737
1033	1490	41750
1034	1493	41799
1035	1494	41791
1036	1496	41795
1037	1497	41784
1038	1499	41783
1039	1503	41855
1040	1506	41914
1041	1508	41914
1042	1509	41913
1043	1510	41904
1044	1512	41895
1045	1515	41943
1046	1519	42010
1047	1520	42011
1048	1522	42012
1049	1523	42007
1050	1524	41997
1051	1526	41994
1052	1527	41992
1053	1528	41982
1054	1530	41978
1055	1534	42050
1056	1535	42043
1057	1536	42037
1058	1538	42032
1059	1539	42029
1060	1541	42042
1061	1542	42042
1062	1544	42037
1063	1545	42039
1064	1547	42039
1065	1548	42030
1066	1549	42028
1067	1551	42018
1068	1552	42019
1069	1554	42023
1070	1555	42020
1071	1557	42031
1072	1559	42034
1073	1561	42053
1074	1564	42097
1075	1570	42222
1076	1572	42232
1077	1577	42331
1078	1580	42350
1079	1581	42348
1080	1583	42353
1081	1584	42356
1082	1586	42365
1083	1588	42363
1084	1593	42465
1085	1595	42467
1086	1597	42497
1087	1599	42494
1088	1601	42508
1089	1603	42525
1090	1608	42613
1091	1610	42623
1092	1613	42670
1093	1615	42677
1094	1617	42702
1095	1620	42744
1096	1622	42743
1097	1623	42746
1098	1625	42742
1099	1626	42733
1100	1627	42727
1101	1629	42718
1102	1630	42720
1103	1631	42715
1104	1633	42706
1105	1635	42722
1106	1637	42735
1107	1639	42759
1108	1641	42756
1109	1642	42755
1110	1644	42763
1111	1645	42757
1112	1647	42757
1113	1650	42796
1114	1654	42856
1115	1656	42861
1116	1657	42853
1117	1658	42854
1118	1664	42955
1119	1666	42968
1120	1668	42972
1121	1669	42970
1122	1670	42963
1123	1673	43005
1124	1679	43111
1125	1681	43126
1126	1683	43129
1127	1684	43121
1128	1686	43129
1129	1688	43135
1130	1692	43190
1131	1694	43211
1132	1695	43195
1133	1696	43182
1134	1697	43171
1135	1698	43157
1136	1699	43145
1137	1700	43131
1138	1701	43120
1139	1702	43104
1140	1709	43243
1141	1712	43264
1142	1713	43262
1143	1718	43349
1144	1723	43424
1145	1724	43420
1146	1725	43413
1147	1726	43401
1148	1728	43392
1149	1729	43387
1150	1730	43374
1151	1731	43364
1152	1732	43350
1153	1733	43339
1154	1737	43384
1155	1738	43374
1156	1742	43427
1157	1743	43436
1158	1745	43445
1159	1747	43435
1160	1749	43452
1161	1750	43439
1162	1751	43428
1163	1752	43418
1164	1753	43405
1165	1754	43388
1166	1755	43370
1167	1756	43352
1168	1757	43334
1169	1758	43338
1170	1759	43324
1171	1760	43309
1172	1761	43295
1173	1763	43298
1174	1764	43283
1175	1765	43263
1176	1765	43243
1177	1766	43229
1178	1767	43210
1179	1768	43190
1180	1769	43181
1181	1770	43170
1182	1771	43159
1183	1772	43148
1184	1773	43131
1185	1774	43114
1186	1776	43116
1187	1780	43174
1188	1781	43164
1189	1782	43153
1190	1786	43221
1191	1788	43220
1192	1789	43211
1193	1790	43197
1194	1792	43196
1195	1794	43210
1196	1795	43196
1197	1796	43181
1198	1796	43164
1199	1797	43150
1200	1798	43138
1201	1800	43125
1202	1800	43108
1203	1801	43095
1204	1802	43080
1205	1803	43062
1206	1804	43045
1207	1805	43032
1208	1807	43043
1209	1808	43027
1210	1809	43014
1211	1810	42998
1212	1811	42988
1213	1813	43000
1214	1814	42983
1215	1815	42966
1216	1816	42951
1217	1817	42938
1218	1817	42921
1219	1818	42904
1220	1819	42888
1221	1820	42877
1222	1821	42871
1223	1823	42859
1224	1826	42900
1225	1828	42905
1226	1829	42907
1227	1830	42898
1228	1831	42882
1229	1832	42866
1230	1833	42851
1231	1834	42840
1232	1835	42826
1233	1836	42814
1234	1837	42801
1235	1838	42786
1236	1839	42773
1237	1840	42760
1238	1841	42747
1239	1842	42730
1240	1843	42715
1241	1844	42697
1242	1845	42687
1243	1846	42680
1244	1847	42671
1245	1848	42667
1246	1850	42661
1247	1851	42647
1248	1852	42635
1249	1853	42619
1250	1854	42608
1251	1855	42595
1252	1855	42578
1253	1856	42564
1254	1857	42547
1255	1858	42530
1256	1859	42511
1257	1859	42495
1258	1860	42477
1259	1861	42459
1260	1862	42441
1261	1864	42466
1262	1867	42486
1263	1868	42482
1264	1869	42473
1265	1871	42466
1266	1872	42460
1267	1873	42456
1268	1874	42447
1269	1875	42436
1270	1876	42422
1271	1877	42412
1272	1879	42409
1273	1880	42402
1274	1881	42387
1275	1882	42380
1276	1883	42369
1277	1884	42358
1278	1885	42345
1279	1887	42342
1280	1888	42334
1281	1889	42328
1282	1890	42317
1283	1891	42304
1284	1892	42298
1285	1894	42296
1286	1895	42285
1287	1896	42275
1288	1897	42273
1289	1899	42269
1290	1900	42260
1291	1901	42253
1292	1902	42240
1293	1903	42225
1294	1904	42217
1295	1905	42206
1296	1906	42199
1297	1909	42214
1298	1910	42211
1299	1911	42201
1300	1912	42194
1301	1914	42193
1302	1915	42187
1303	1916	42178
1304	1918	42180
1305	1919	42178
1306	1921	42186
1307	1923	42196
1308	1924	42188
1309	1925	42175
1310	1926	42166
1311	1927	42154
1312	1928	42141
1313	1929	42127
1314	1930	42115
1315	1931	42100
1316	1932	42090
1317	1933	42082
1318	1934	42072
1319	1935	42061
1320	1937	42054
1321	1938	42045
1322	1939	42034
1323	1940	42023
1324	1941	42012
1325	1942	41999
1326	1943	41985
1327	1944	41971
1328	1944	41960
1329	1946	41949
1330	1947	41937
1331	1948	41926
1332	1949	41918
1333	1950	41903
1334	1951	41906
1335	1952	41901
1336	1954	41896
1337	1955	41887
1338	1956	41876
1339	1957	41865
1340	1958	41855
1341	1959	41849
1342	1960	41842
1343	1961	41830
1344	1962	41819
1345	1964	41812
1346	1965	41799
1347	1966	41794
1348	1967	41783
1349	1968	41774
1350	1969	41763
1351	1970	41754
1352	1971	41740
1353	1972	41728
1354	1973	41716
1355	1974	41705
1356	1975	41692
1357	1977	41699
1358	1978	41690
1359	1979	41689
1360	1980	41679
1361	1981	41671
